,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1,improve-ur-12,improve-ur-23,improve-ur-34,improve-ur-45,improve-ur-15,improve-ur-25,improve-vis-12,improve-vis-23,improve-vis-34,improve-vis-45,improve-vis-15,improve-vis-25,improve-novel-12,improve-novel-23,improve-novel-34,improve-novel-45,improve-novel-15,improve-novel-25,improve-tech-12,improve-tech-23,improve-tech-34,improve-tech-45,improve-tech-25,improve-tech-15,improve-total-12,improve-total-23,improve-total-34,improve-total-45,improve-total-15,improve-total-25,improve-sum-ur,improve-sum-vis,improve-sum-novel,improve-sum-tech,add-loc-12,delete-loc-12,change-files-12,add-loc-15,delete-loc-15,change-files-15,add-loc-23,delete-loc-23,change-files-23,add-loc-34,delete-loc-34,change-files-34,add-loc-45,delete-loc-45,change-files-45,add-loc-25,delete-loc-25,change-files-25,add-loc-sum,phase1-clicks-count,phase2-clicks-count,phase3-clicks-count,phase4-clicks-count,sum-clicks-count,project-clicks-count,score-clicks-count,sum-add-loc,project-clicks-hacker,unique_apps
0,fffeelipe,0,20,29.17,50,199.17,100,100,20,29.17,43.75,192.92,75,60,37.5,0,172.5,75,60,37.5,0,172.5,50,20,29.17,0,99.17,40,0,-40,0,0,-40,8.33,0,-8.33,0,0,-8.33,0,0,43.75,6.25,50,50,25,0,25,0,25,50,73.33,0,20.42,6.25,100,26.67,0,0,50,50,0,0,0,92,249,18,0,0,0,87,202,17,78,168,6,0,0,0,165,0,0,0,5,5,5,,165,9,5
1,mnguzmanc,0,60,75,67.5,290,87.5,87.5,20,37.5,100,245,100,20,41.67,75,236.67,87.5,20,37.5,75,220,87.5,0,0,0,87.5,20,0,0,40,60,40,37.5,4.17,-4.17,37.5,75,37.5,75,0,25,-32.5,67.5,-7.5,0,12.5,-12.5,0,0,0,132.5,16.67,8.33,45,202.5,70,60,75,67.5,0,6,14,2,43,144,3,31,95,1,65,39,2,81,136,2,51,144,2,183,4,0,0,22,26,23,,183,11,15
2,jmcuestasb,0,100,54.17,25,254.17,75,62.5,100,58.33,0,220.83,62.5,20,50,0,132.5,62.5,20,33.33,25,140.83,50,0,0,0,50,20,0,80,0,100,80,33.33,16.67,8.33,-4.16,54.17,20.84,25,-25,0,25,25,0,12.5,0,0,12.5,12.5,25,90.83,-8.33,88.33,33.34,204.17,113.34,100,54.17,25,25,7,0,7,7,0,7,6,9,1,9,0,1,9,26,1,5,34,1,31,4,0,0,0,4,2,,31,7,1
3,katherinsb,0,20,37.5,16.67,136.67,62.5,37.5,20,45.83,25,128.33,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,20,0,20,20,0,0,45.83,-8.33,37.5,37.5,0,0,25,-8.33,16.67,16.67,12.5,-12.5,37.5,25,50,62.5,12.5,-12.5,128.33,8.34,136.67,124.17,20,37.5,16.67,62.5,0,0,0,0,0,6,0,0,0,0,0,4,259,371,3,0,0,6,259,0,0,0,0,0,,,259,10,
4,jjrodriguezn,0,60,58.33,87.5,255.83,50,37.5,40,54.17,0,131.67,37.5,20,45.83,0,103.33,62.5,20,29.17,0,111.67,0,0,0,0,0,20,0,20,20,60,40,29.17,16.66,8.34,4.16,58.33,29.16,0,0,0,87.5,87.5,87.5,62.5,-25,0,12.5,-12.5,50,111.67,-8.34,28.34,124.16,255.83,144.16,60,58.33,87.5,50,104,0,1,0,0,9,57,98,1,67,13,2,4,7,4,59,49,5,232,1,0,0,0,1,1,,232,8,1
5,DglyP,0,20,25,50,195,100,87.5,0,25,50,162.5,50,40,50,0,140,37.5,40,45.83,0,123.33,0,0,0,0,0,40,0,-40,20,20,-20,45.83,4.17,-25,0,25,-20.83,0,0,50,0,50,50,37.5,12.5,37.5,12.5,62.5,100,123.33,16.67,22.5,32.5,195,71.67,20,25,50,100,54,65,1,47,156,8,0,0,0,15,52,10,31,56,2,0,0,0,100,0,30,0,9,39,34,,100,9,28
6,cap182,0,20,29.17,0,49.17,0,0,20,29.17,0,49.17,0,20,29.17,0,49.17,12.5,0,20.83,0,33.33,0,40,33.33,75,148.33,-40,20,0,0,-20,20,-12.5,8.34,0,0,-4.16,8.34,-75,0,0,0,-75,0,12.5,-12.5,0,0,-12.5,0,-115,15.84,0,0,-99.16,15.84,-20,-4.16,-75,0,9,97,5,0,0,0,0,0,0,0,0,0,0,0,0,82,167,4,9,0,0,0,0,0,,,9,9,
7,annumumozme,0,40,37.5,60,237.5,100,75,0,0,0,0,62.5,0,0,0,0,37.5,20,45.83,0,103.33,37.5,0,0,0,37.5,20,-20,0,40,40,20,45.83,-45.83,0,37.5,37.5,-8.33,0,0,0,60,60,60,0,25,12.5,25,62.5,62.5,65.83,-103.33,0,237.5,200,134.17,40,37.5,60,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,
8,Judgarciani,0,100,58.33,66.67,325,100,75,80,87.5,0,242.5,62.5,80,79.17,0,221.67,37.5,20,29.17,0,86.67,0,0,0,0,0,20,60,0,20,100,80,29.17,50,8.33,-29.17,58.33,29.16,0,0,0,66.67,66.67,66.67,37.5,25,12.5,25,62.5,100,86.67,135,20.83,82.5,325,238.33,100,58.33,66.67,100,23,85,2,13,24,4,4,0,3,130,172,2,31,45,2,13,24,3,188,7,10,0,2,19,16,,188,11,12
9,sacastroc,0,20,50,68.75,226.25,87.5,87.5,20,50,62.5,220,100,20,33.33,62.5,215.83,87.5,20,33.33,62.5,203.33,50,0,25,0,75,20,0,0,0,20,0,8.33,0,16.67,0,25,16.67,62.5,0,0,6.25,68.75,6.25,37.5,12.5,-12.5,0,0,37.5,128.33,12.5,4.17,6.25,151.25,22.92,20,25,68.75,37.5,5,10,1,8,15,7,1,0,7,39,52,2,6,11,1,3,5,7,51,3,0,0,49,52,47,,51,7,39
