,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1,improve-ur-12,improve-ur-23,improve-ur-34,improve-ur-45,improve-ur-15,improve-ur-25,improve-vis-12,improve-vis-23,improve-vis-34,improve-vis-45,improve-vis-15,improve-vis-25,improve-novel-12,improve-novel-23,improve-novel-34,improve-novel-45,improve-novel-15,improve-novel-25,improve-tech-12,improve-tech-23,improve-tech-34,improve-tech-45,improve-tech-25,improve-tech-15,improve-total-12,improve-total-23,improve-total-34,improve-total-45,improve-total-15,improve-total-25,improve-sum-ur,improve-sum-vis,improve-sum-novel,improve-sum-tech,add-loc-12,delete-loc-12,change-files-12,add-loc-15,delete-loc-15,change-files-15,add-loc-23,delete-loc-23,change-files-23,add-loc-34,delete-loc-34,change-files-34,add-loc-45,delete-loc-45,change-files-45,add-loc-25,delete-loc-25,change-files-25,add-loc-sum,improve-effort-12,improve-effort-23,improve-effort-34,improve-effort-45,improve-effort-15,improve-effort-25,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Q11,Q12,Q13,Q14
0,fffeelipe,0.0,20.0,29.17,50.0,199.17,100.0,100.0,20.0,29.17,43.75,192.92,75.0,60.0,37.5,0.0,172.5,75.0,60.0,37.5,0.0,172.5,50.0,20.0,29.17,0.0,99.17,40.0,0.0,-40.0,0.0,0.0,-40.0,8.329999999999998,0.0,-8.329999999999998,0.0,0.0,-8.329999999999998,0.0,0.0,43.75,6.25,50.0,50.0,25.0,0.0,25.0,0.0,25.0,50.0,73.33,0.0,20.419999999999987,6.25,99.99999999999999,26.669999999999987,0.0,0.0,50.0,50.0,0.0,0.0,0.0,92.0,249.0,18.0,0.0,0.0,0.0,87.0,202.0,17.0,78.0,168.0,6.0,0.0,0.0,0.0,165.0,0.0,0.0,-14.0,-6.0,-32.5,0.0,6.0,4.0,5.0,1.0,2.0,5.0,6.0,4.0,5.0,3.0,1.0,4.0,6.0,1.0,5.0,2.0,6.0,4.0,1.0,1.0,1.0,6.0,1.0,4.0,2.0,0.0,5.0,6.0,1.0,0.0,0.0,3.0,5.0,5.0,3.0,1.0,0.0,8.0,1.0
1,mnguzmanc,0.0,60.0,75.0,67.5,290.0,87.5,87.5,20.0,37.5,100.0,245.0,100.0,20.0,41.67,75.0,236.67,87.5,20.0,37.5,75.0,220.0,87.5,0.0,0.0,0.0,87.5,20.0,0.0,0.0,40.0,60.0,40.0,37.5,4.170000000000002,-4.170000000000002,37.5,75.0,37.5,75.0,0.0,25.0,-32.5,67.5,-7.5,0.0,12.5,-12.5,0.0,0.0,0.0,132.5,16.669999999999987,8.330000000000013,45.0,202.5,70.0,60.0,75.0,67.5,0.0,6.0,14.0,2.0,43.0,144.0,3.0,31.0,95.0,1.0,65.0,39.0,2.0,81.0,136.0,2.0,51.0,144.0,2.0,183.0,-1.0,-16.5,45.5,13.0,-29.0,-21.0,1.0,3.0,5.0,2.0,2.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,6.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,6.0,3.0
2,jmcuestasb,0.0,100.0,54.17,25.0,254.17,75.0,62.5,100.0,58.33,0.0,220.83,62.5,20.0,50.0,0.0,132.5,62.5,20.0,33.33,25.0,140.83,50.0,0.0,0.0,0.0,50.0,20.0,0.0,80.0,0.0,100.0,80.0,33.33,16.67,8.329999999999998,-4.159999999999997,54.17,20.840000000000003,25.0,-25.0,0.0,25.0,25.0,0.0,12.5,0.0,0.0,12.5,12.5,25.0,90.83000000000001,-8.330000000000013,88.33000000000001,33.339999999999975,204.17,113.33999999999997,100.0,54.17,25.0,25.0,7.0,0.0,7.0,7.0,0.0,7.0,6.0,9.0,1.0,9.0,0.0,1.0,9.0,26.0,1.0,5.0,34.0,1.0,31.0,7.0,1.5,9.0,-4.0,7.0,-12.0,4.0,6.0,4.0,3.0,5.0,6.0,5.0,5.0,6.0,6.0,3.0,2.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,2.0,5.0,1.0,3.0,3.0,1.0,4.0,5.0,2.0,2.0,1.0,0.0,10.0
3,katherinsb,0.0,20.0,37.5,16.67,136.67,62.5,37.5,20.0,45.83,25.0,128.33,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,45.83,-8.329999999999998,37.5,37.5,0.0,0.0,25.0,-8.329999999999998,16.67,16.67,12.5,-12.5,37.5,25.0,50.0,62.5,12.5,-12.5,128.33,8.339999999999975,136.67,124.16999999999999,20.0,37.5,16.67,62.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,259.0,371.0,3.0,0.0,0.0,6.0,259.0,0.0,0.0,0.0,73.5,0.0,0.0,4.0,5.0,6.0,4.0,5.0,6.0,6.0,4.0,4.0,6.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,2.0,5.0,1.0,2.0,5.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0
4,jjrodriguezn,0.0,60.0,58.33,87.5,255.83,50.0,37.5,40.0,54.17,0.0,131.67,37.5,20.0,45.83,0.0,103.33,62.5,20.0,29.17,0.0,111.67,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,60.0,40.0,29.17,16.659999999999997,8.340000000000003,4.159999999999997,58.33,29.159999999999997,0.0,0.0,0.0,87.5,87.5,87.5,62.5,-25.0,0.0,12.5,-12.5,50.0,111.67,-8.340000000000003,28.33999999999999,124.16000000000003,255.83,144.16000000000003,60.0,58.33,87.5,50.0,104.0,0.0,1.0,0.0,0.0,9.0,57.0,98.0,1.0,67.0,13.0,2.0,4.0,7.0,4.0,59.0,49.0,5.0,232.0,104.0,8.0,60.5,0.5,0.0,34.5,3.0,5.0,4.0,4.0,2.0,5.0,4.0,0.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0
5,DglyP,0.0,20.0,25.0,50.0,195.0,100.0,87.5,0.0,25.0,50.0,162.5,50.0,40.0,50.0,0.0,140.0,37.5,40.0,45.83,0.0,123.33,0.0,0.0,0.0,0.0,0.0,40.0,0.0,-40.0,20.0,20.0,-20.0,45.83,4.170000000000002,-25.0,0.0,25.0,-20.83,0.0,0.0,50.0,0.0,50.0,50.0,37.5,12.5,37.5,12.5,62.5,100.0,123.33,16.67,22.5,32.5,195.0,71.67,20.0,25.0,50.0,100.0,54.0,65.0,1.0,47.0,156.0,8.0,0.0,0.0,0.0,15.0,52.0,10.0,31.0,56.0,2.0,0.0,0.0,0.0,100.0,21.5,0.0,-11.0,3.0,-31.0,0.0,5.0,6.0,6.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,2.0,6.0,5.0,1.0,2.0,6.0,6.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,2.0,30.0,2.0
6,cap182,0.0,20.0,29.17,0.0,49.17,0.0,0.0,20.0,29.17,0.0,49.17,0.0,20.0,29.17,0.0,49.17,12.5,0.0,20.83,0.0,33.33,0.0,40.0,33.33,75.0,148.33,-40.0,20.0,0.0,0.0,-20.0,20.0,-12.5,8.340000000000003,0.0,0.0,-4.159999999999997,8.340000000000003,-75.0,0.0,0.0,0.0,-75.0,0.0,12.5,-12.5,0.0,0.0,-12.5,0.0,-115.00000000000001,15.840000000000003,0.0,0.0,-99.16000000000001,15.840000000000003,-20.0,-4.159999999999997,-75.0,0.0,9.0,97.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,167.0,4.0,9.0,-39.5,0.0,0.0,0.0,0.0,-1.5,1.0,5.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,1.0,6.0,5.0,3.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,1.0,5.0,3.0,5.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0,3.0,0.0,5.0,10.0
7,annumumozme,0.0,40.0,37.5,60.0,237.5,100.0,75.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,37.5,20.0,45.83,0.0,103.33,37.5,0.0,0.0,0.0,37.5,20.0,-20.0,0.0,40.0,40.0,20.0,45.83,-45.83,0.0,37.5,37.5,-8.329999999999998,0.0,0.0,0.0,60.0,60.0,60.0,0.0,25.0,12.5,25.0,62.5,62.5,65.83,-103.33,0.0,237.5,200.0,134.17000000000002,40.0,37.5,60.0,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Judgarciani,0.0,100.0,58.33,66.67,325.0,100.0,75.0,80.0,87.5,0.0,242.5,62.5,80.0,79.17,0.0,221.67,37.5,20.0,29.17,0.0,86.67,0.0,0.0,0.0,0.0,0.0,20.0,60.0,0.0,20.0,100.0,80.0,29.17,50.0,8.329999999999998,-29.17,58.33,29.159999999999997,0.0,0.0,0.0,66.67,66.67,66.67,37.5,25.0,12.5,25.0,62.5,100.0,86.67,135.0,20.830000000000013,82.5,325.0,238.32999999999998,100.0,58.33,66.67,100.0,23.0,85.0,2.0,13.0,24.0,4.0,4.0,0.0,3.0,130.0,172.0,2.0,31.0,45.0,2.0,13.0,24.0,3.0,188.0,-19.5,4.0,44.0,8.5,1.0,1.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,0.0,1.0,1.0,8.0
9,sacastroc,0.0,20.0,50.0,68.75,226.25,87.5,87.5,20.0,50.0,62.5,220.0,100.0,20.0,33.33,62.5,215.83,87.5,20.0,33.33,62.5,203.33,50.0,0.0,25.0,0.0,75.0,20.0,0.0,0.0,0.0,20.0,0.0,8.329999999999998,0.0,16.67,0.0,25.0,16.67,62.5,0.0,0.0,6.25,68.75,6.25,37.5,12.5,-12.5,0.0,0.0,37.5,128.33,12.5,4.1699999999999875,6.25,151.25,22.919999999999987,20.0,25.0,68.75,37.5,5.0,10.0,1.0,8.0,15.0,7.0,1.0,0.0,7.0,39.0,52.0,2.0,6.0,11.0,1.0,3.0,5.0,7.0,51.0,0.0,1.0,13.0,0.5,0.5,0.5,3.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,2.0
